Store,Category,Location Count
Starbucks,National,40000
Caribou,National,750
Dunn Brothers Coffee,Regional,48
Urban Coffee,Local,1
Sencha Tea Garden,Met,3
Tea Garden,Local,1
Bull Run Coffee,Local,2
Studio 2 Café,Local,1
Target Store,National,1700
Moose And Sadies,Local,1
Rustica Bakery,Metro,2
Corner Coffee,Local,1
Spyhouse Coffee,Metro,7
I am Coffee,Local,1
Turtle Bread,Metro,2
Dogwood Coffee,Metro,3
Common Root Coffee,Local,1
Black Dog Coffee,Local,1
True Stone Coffee-,Local,2
Snack Machine,National,1
Cafe Milo,Local,1
James Coffee,Local,1
Java Moose,Local,1
Zoe Coffee,Local,1
Gray Fox Coffee,Metro,4
Angry Catfish Coffee,Local,1
True Stone,Local,2
Minnesota Farmers Union,Local,1
Five Watt,Metro,3
Creators Cup,Local,1
Isles and Bun Coffee,Local,1
Nokomis Beach Coffee,Local,1
Black Coffee And Waffle Bar,Metro,3
Not Just Coffee,Local,1
Farm City,Local,1
Overlook Coffee,Local,1
Foolish Things,Local,1
Peace Coffee,Regional,0
COFFEE PAW CAFE,Local,1
Peet's Coffee & Tea,National,370
The Ghostly Store,Local,1
ROASTING PLANT COFFEE,Local,1
Brads Coffeehouse,Local,1
Coffee Cup,Local,1
World Cup,Local,1
Coffee Mill Cafe,Local,1
Sip Coffee,Local,1
Kijiji Coffee,Local,1
Macy's Coffee,National,500