City,Attribute,Value
Battle Lake,1980,708
Battle Lake,1990,698
Battle Lake,2000,686
Battle Lake,2010,875
Battle Lake,2020,857
Big Lake,1970,1015
Big Lake,1980,2210
Big Lake,1990,3113
Big Lake,2000,6063
Big Lake,2010,10060
Big Lake,2020,11686
Bingham Lake,1980,222
Bingham Lake,1990,155
Bingham Lake,2000,167
Bingham Lake,2010,126
Bingham Lake,2020,137
Buffalo Lake,1980,782
Buffalo Lake,1990,734
Buffalo Lake,2000,768
Buffalo Lake,2010,733
Buffalo Lake,2020,660
Cass Lake,1970,1317
Cass Lake,1980,1001
Cass Lake,1990,923
Cass Lake,2000,860
Cass Lake,2010,770
Cass Lake,2020,675
Clear Lake,1980,266
Clear Lake,1990,315
Clear Lake,2000,266
Clear Lake,2010,545
Clear Lake,2020,641
Detroit Lakes,1970,5797
Detroit Lakes,1980,7106
Detroit Lakes,1990,6635
Detroit Lakes,2000,7348
Detroit Lakes,2010,8569
Detroit Lakes,2020,9869
Eagle Lake,1980,1470
Eagle Lake,1990,1703
Eagle Lake,2000,1787
Eagle Lake,2010,2422
Eagle Lake,2020,3278
East Gull Lake,1980,586
East Gull Lake,1990,687
East Gull Lake,2000,978
East Gull Lake,2010,1004
East Gull Lake,2020,986
Elbow Lake,1970,1484
Elbow Lake,1980,1358
Elbow Lake,1990,1186
Elbow Lake,2000,1275
Elbow Lake,2010,1176
Elbow Lake,2020,1276
Fifty Lakes,1980,263
Fifty Lakes,1990,299
Fifty Lakes,2000,392
Fifty Lakes,2010,387
Fifty Lakes,2020,443
Forest Lake,1970,3207
Forest Lake,1980,4596
Forest Lake,1990,5833
Forest Lake,2000,6798
Forest Lake,2010,18375
Forest Lake,2020,20611
Gem Lake,1980,394
Gem Lake,1990,439
Gem Lake,2000,419
Gem Lake,2010,393
Gem Lake,2020,528
Heron Lake,1980,783
Heron Lake,1990,730
Heron Lake,2000,768
Heron Lake,2010,698
Heron Lake,2020,602
Howard Lake,1970,1162
Howard Lake,1980,1240
Howard Lake,1990,1343
Howard Lake,2000,1853
Howard Lake,2010,1962
Howard Lake,2020,2071
Hoyt Lakes,1970,3634
Hoyt Lakes,1980,3186
Hoyt Lakes,1990,2348
Hoyt Lakes,2000,2082
Hoyt Lakes,2010,2017
Hoyt Lakes,2020,2020
Lake Benton,1980,869
Lake Benton,1990,693
Lake Benton,2000,703
Lake Benton,2010,683
Lake Benton,2020,687
Lake Bronson,1980,298
Lake Bronson,1990,272
Lake Bronson,2000,246
Lake Bronson,2010,229
Lake Bronson,2020,178
Lake City,1970,3594
Lake City,1980,4505
Lake City,1990,4391
Lake City,2000,4950
Lake City,2010,5063
Lake City,2020,5252
Lake Crystal,1970,1807
Lake Crystal,1980,2078
Lake Crystal,1990,2084
Lake Crystal,2000,2420
Lake Crystal,2010,2549
Lake Crystal,2020,2539
Lake Elmo,1970,4032
Lake Elmo,1980,5296
Lake Elmo,1990,5903
Lake Elmo,2000,6863
Lake Elmo,2010,8069
Lake Elmo,2020,11335
Lake Henry,1980,90
Lake Henry,1990,90
Lake Henry,2000,90
Lake Henry,2010,103
Lake Henry,2020,72
Lake Lillian,1980,329
Lake Lillian,1990,229
Lake Lillian,2000,257
Lake Lillian,2010,238
Lake Lillian,2020,246
Lake Park,1980,716
Lake Park,1990,638
Lake Park,2000,782
Lake Park,2010,783
Lake Park,2020,728
Lake Shore,1980,583
Lake Shore,1990,693
Lake Shore,2000,966
Lake Shore,2010,1004
Lake Shore,2020,1056
Lake Wilson,1980,380
Lake Wilson,1990,319
Lake Wilson,2000,270
Lake Wilson,2010,251
Lake Wilson,2020,254
Lakefield,1970,1820
Lakefield,1980,1845
Lakefield,1990,1679
Lakefield,2000,1721
Lakefield,2010,1694
Lakefield,2020,1735
Lakeland,1980,1812
Lakeland,1990,2000
Lakeland,2000,1917
Lakeland,2010,1796
Lakeland,2020,1710
Lakeland Shores,1980,171
Lakeland Shores,1990,291
Lakeland Shores,2000,355
Lakeland Shores,2010,311
Lakeland Shores,2020,339
Lakeville,1970,7556
Lakeville,1980,14790
Lakeville,1990,24854
Lakeville,2000,43128
Lakeville,2010,55954
Lakeville,2020,69490
Lino Lakes,1970,3692
Lino Lakes,1980,4966
Lino Lakes,1990,8807
Lino Lakes,2000,16791
Lino Lakes,2010,20216
Lino Lakes,2020,21399
Long Lake,1970,1506
Long Lake,1980,1747
Long Lake,1990,1984
Long Lake,2000,1842
Long Lake,2010,1768
Long Lake,2020,1741
Madison Lake,1980,592
Madison Lake,1990,643
Madison Lake,2000,837
Madison Lake,2010,1017
Madison Lake,2020,1247
Maple Lake,1970,1124
Maple Lake,1980,1132
Maple Lake,1990,1394
Maple Lake,2000,1633
Maple Lake,2010,2059
Maple Lake,2020,2159
Medicine Lake,1980,419
Medicine Lake,1990,385
Medicine Lake,2000,368
Medicine Lake,2010,371
Medicine Lake,2020,337
Minnesota Lake,1980,744
Minnesota Lake,1990,681
Minnesota Lake,2000,681
Minnesota Lake,2010,687
Minnesota Lake,2020,661
Moose Lake,1970,1400
Moose Lake,1980,1408
Moose Lake,1990,1206
Moose Lake,2000,2239
Moose Lake,2010,2751
Moose Lake,2020,2789
Mountain Lake,1970,1986
Mountain Lake,1980,2277
Mountain Lake,1990,1906
Mountain Lake,2000,2082
Mountain Lake,2010,2104
Mountain Lake,2020,1999
Pequot Lakes,1980,681
Pequot Lakes,1990,843
Pequot Lakes,2000,947
Pequot Lakes,2010,2162
Pequot Lakes,2020,2395
Prior Lake,1970,1114
Prior Lake,1980,7284
Prior Lake,1990,11482
Prior Lake,2000,15917
Prior Lake,2010,22796
Prior Lake,2020,27617
Red Lake Falls,1970,1740
Red Lake Falls,1980,1732
Red Lake Falls,1990,1481
Red Lake Falls,2000,1590
Red Lake Falls,2010,1427
Red Lake Falls,2020,1339
Round Lake,1980,480
Round Lake,1990,463
Round Lake,2000,424
Round Lake,2010,376
Round Lake,2020,377
Silver Lake,1980,698
Silver Lake,1990,764
Silver Lake,2000,761
Silver Lake,2010,837
Silver Lake,2020,866
Spring Lake Park,1970,6417
Spring Lake Park,1980,6477
Spring Lake Park,1990,6532
Spring Lake Park,2000,6772
Spring Lake Park,2010,6412
Spring Lake Park,2020,7188
Squaw Lake,1980,162
Squaw Lake,1990,139
Squaw Lake,2000,99
Squaw Lake,2010,107
Squaw Lake,2020,98
Sturgeon Lake,1980,222
Sturgeon Lake,1990,230
Sturgeon Lake,2000,347
Sturgeon Lake,2010,439
Sturgeon Lake,2020,436
Sunfish Lake,1980,344
Sunfish Lake,1990,413
Sunfish Lake,2000,504
Sunfish Lake,2010,521
Sunfish Lake,2020,522
Twin Lakes,1980,210
Twin Lakes,1990,154
Twin Lakes,2000,168
Twin Lakes,2010,151
Twin Lakes,2020,134
White Bear Lake,1970,23313
White Bear Lake,1980,22538
White Bear Lake,1990,24704
White Bear Lake,2000,24325
White Bear Lake,2010,23797
White Bear Lake,2020,24883
Wolf Lake,1980,67
Wolf Lake,1990,35
Wolf Lake,2000,31
Wolf Lake,2010,57
Wolf Lake,2020,71
Wood Lake,1980,420
Wood Lake,1990,406
Wood Lake,2000,436
Wood Lake,2010,439
Wood Lake,2020,381