row,date,category,store,address,phone
2,10/1/17,ACCESSORIES,Almost Famous Body Piercing,E350,854-8000
3,10/1/17,ACCESSORIES,Chapel of Love,E318,854-4656
4,10/1/17,ACCESSORIES,Claire’s,E179,854-5504
5,10/1/17,ACCESSORIES,Claire’s,N394,851-0050
6,10/1/17,ACCESSORIES,Claire’s,E292,858-9903
8,10/1/17,ACCESSORIES,Icing,E247,854-8851
10,10/1/17,ACCESSORIES,Sox Appeal,W391,858-9141
12,10/1/17,APPAREL,A|X Armani Exchange m w,S141,854-9400
13,10/1/17,APPAREL,abercrombie c,W209,854-2671
14,10/1/17,APPAREL,Abercrombie & Fitch m w,N200,851-0911
15,10/1/17,APPAREL,aerie w,E200,854-4178
16,10/1/17,APPAREL,Aéropostale m w,N267,854-9446
17,10/1/17,APPAREL,A’GACI w,E246,854-1649
18,10/1/17,APPAREL,Alpaca Connection m w c,E367,883-0828
19,10/1/17,APPAREL,Altar’d State w,N105,763-489-0037
20,10/1/17,APPAREL,American Eagle Outfitters m w,S120,851-9011
21,10/1/17,APPAREL,American Eagle Outfitters m w,N248,854-4788
22,10/1/17,APPAREL,Ann Taylor w,S218,854-9220
23,10/1/17,APPAREL,Anthropologie w,C128,953-9900
24,10/1/17,APPAREL,Athleta w,S145,854-9387
25,10/1/17,APPAREL,babyGap c,S210,854-1011
26,10/1/17,APPAREL,Banana Republic m w,W100,854-1818
27,10/1/17,APPAREL,Boot Barn m w c,N386,854-1063
28,10/1/17,APPAREL,BOSS HUGO BOSS m,S176,854-4403
29,10/1/17,APPAREL,Buckle m w c,E203,854-4388
30,10/1/17,APPAREL,Burberry m w,S178,854-7000
31,10/1/17,APPAREL,Calvin Klein Performance w,S130,854-1318
32,10/1/17,APPAREL,Carhartt m w c,N144,612-318-6422
33,10/1/17,APPAREL,Carter’s baby c,S254,854-4522
34,10/1/17,APPAREL,Champs Sports m w c,W358,858-9215
35,10/1/17,APPAREL,Champs Sports m w c,E202,854-4980
36,10/1/17,APPAREL,Chapel Hats m w c,N170,854-6707
37,10/1/17,APPAREL,Charlotte Russe w,E141,854-6862
38,10/1/17,APPAREL,Chico’s w,S160,851-0882
39,10/1/17,APPAREL,Christopher & Banks | c.j. banks w,S270,858-8512
40,10/1/17,APPAREL,City Shirts m w c,W383,
41,10/1/17,APPAREL,Club Monaco m w,N102,854-2200
42,10/1/17,APPAREL,Columbia Sportswear m w c,W112,854-5260
43,10/1/17,APPAREL,Cotton:On m w,N278,854-5533
44,10/1/17,APPAREL,Cowgirl Tuff Company m w c,N302,546-1601
45,10/1/17,APPAREL,Crayola Experience + Store m w c,S300,851-5800
46,10/1/17,APPAREL,Destination Maternity w,S258,854-1144
47,10/1/17,APPAREL,Eddie Bauer m w,S214,851-0727
48,10/1/17,APPAREL,Everything But Water w,W290,858-9563
49,10/1/17,APPAREL,Express m w,W204,851-0741
50,10/1/17,APPAREL,Fabletics w,S142,651-583-5511
51,10/1/17,APPAREL,Farm Boy Farm Girl m w c,N166,854-1311
52,10/1/17,APPAREL,Fjällräven m w c,S128,651-255-3050
53,10/1/17,APPAREL,Forever 21 m w c,E144,854-1890
54,10/1/17,APPAREL,Francesca’s Collections w,S116,854-9985
55,10/1/17,APPAREL,Free People w,S149,854-9905
56,10/1/17,APPAREL,Gap m w,S110,854-1011
57,10/1/17,APPAREL,Gap kids c,S210,854-1011
58,10/1/17,APPAREL,Garage w,N140,854-4592
59,10/1/17,APPAREL,Goldy’s Locker Room m w c,W366,858-9585
60,10/1/17,APPAREL,Guess w,S260,858-8241
61,10/1/17,APPAREL,H&M m w c,W117,855-466-7467
62,10/1/17,APPAREL,Hammer Made m,S150,854-9097
63,10/1/17,APPAREL,Hanna Andersson c,N190,854-9598
64,10/1/17,APPAREL,Harley-Davidson Motor Company m w c,W344,854-1225
65,10/1/17,APPAREL,Hockey Minnesota by Goldy’s Locker Room m w c,E160,854-9484
66,10/1/17,APPAREL,Hollister m w,W210,854-1139
67,10/1/17,APPAREL,Hot Topic m w,N168,858-9150
68,10/1/17,APPAREL,ivivva athletica c,S290,854-1614
69,10/1/17,APPAREL,J. CREW m w c,S200,814-7419
70,10/1/17,APPAREL,J.Jill w,S228,876-0031
71,10/1/17,APPAREL,Janie and Jack c,S168,854-2009
72,10/1/17,APPAREL,June Active w,S140,651-365-1830
73,10/1/17,APPAREL,Justice c,S255,851-9557
74,10/1/17,APPAREL,Lacoste m w,S172,854-9944
75,10/1/17,APPAREL,Lane Bryant w,S229,356-3325
76,10/1/17,APPAREL,Levi’s m w,S262,814-9980
77,10/1/17,APPAREL,Lids m w c,E134,858-9670
78,10/1/17,APPAREL,Lids m w c,E178,853-0056
79,10/1/17,APPAREL,Lids m w c,E346,814-0150
80,10/1/17,APPAREL,Lids m w c,N274,854-4706
81,10/1/17,APPAREL,Lids m w c,W369,854-2794
82,10/1/17,APPAREL,Live Love Dream w,N262,854-9446
83,10/1/17,APPAREL,L.L.Bean m w c,S100,854-1017
84,10/1/17,APPAREL,LOFT w,N184,854-2323
85,10/1/17,APPAREL,Long Tall Sally w,W282,858-9360
86,10/1/17,APPAREL,Lucky Brand m w,S170,854-9289
87,10/1/17,APPAREL,lululemon athletica m w,S154,854-6785
88,10/1/17,APPAREL,Madewell w,S143,854-1863
89,10/1/17,APPAREL,Marshalls m w c,E320,851-0750
90,10/1/17,APPAREL,maurice’s w,E212,851-0027
91,10/1/17,APPAREL,Mona Williams w,S138,
92,10/1/17,APPAREL,New York & Company w,S276,858-8815
93,10/1/17,APPAREL,Nordstrom Rack m w c,W324,854-3131
94,10/1/17,APPAREL,The North Face m w c,S166,854-1493
95,10/1/17,APPAREL,Old Navy m w c,E138,853-0100
96,10/1/17,APPAREL,PacSun m w,E246,854-4090
97,10/1/17,APPAREL,PINK w,N120,854-1615
98,10/1/17,APPAREL,Pro Image Sports m w c,N258,960-0783
99,10/1/17,APPAREL,Ragstock m w c,E100,
100,10/1/17,APPAREL,Ragstock m w c,E214,854-5133
101,10/1/17,APPAREL,Ragstock m w c,N275,854-9377
102,10/1/17,APPAREL,Rainbow m w c,E330,858-9363
103,10/1/17,APPAREL,Silver Jeans Co. m w,S220,607-5328
104,10/1/17,APPAREL,Soma Intimates w,W135,854-1230
105,10/1/17,APPAREL,Swim ‘n Sport w,S286,236-7028
106,10/1/17,APPAREL,The Children’s Place c,S272,854-5641
107,10/1/17,APPAREL,The North Face m w c,S166,854-1493
109,10/1/17,APPAREL,Tilly’s m w c,N246,814-1035
110,10/1/17,APPAREL,Tommy Bahama m w,W235,351-9888
113,10/1/17,APPAREL,Torrid w,N148,854-5330
114,10/1/17,APPAREL,Tory Sport w,S107,854-9480
115,10/1/17,APPAREL,True Religion m w,S175,851-7975
116,10/1/17,APPAREL,Under Armour Brand House m w c,W240,612-235-4190
117,10/1/17,APPAREL,Urban Outfitters m w c,W122,854-8448
118,10/1/17,APPAREL,Victoria’s Secret w,N178,854-6442
119,10/1/17,APPAREL,Victoria’s Secret w,W220,
120,10/1/17,APPAREL,Vikings Locker Room m w c,E126,854-5473
121,10/1/17,APPAREL,White House Black Market w,S148,854-2006
122,10/1/17,APPAREL,Zara m w c,C185,
123,10/1/17,APPAREL,Zumiez m w c,N236,814-9260
125,10/1/17,ATTRACTIONS+ENTERTAINMENT,Amazing Mirror Maze,N353,854-5345
127,10/1/17,ATTRACTIONS+ENTERTAINMENT,Crayola Experience + Store,S300,851-5800
128,10/1/17,ATTRACTIONS+ENTERTAINMENT,The Escape Room,E300,
130,10/1/17,ATTRACTIONS+ENTERTAINMENT,GameWorks,E401,500-8700
131,10/1/17,ATTRACTIONS+ENTERTAINMENT,The LEGO Store,S164,858-8949
132,10/1/17,ATTRACTIONS+ENTERTAINMENT,Moose Mountain Adventure Golf,N376,883-8777
134,10/1/17,ATTRACTIONS+ENTERTAINMENT,Rick Bronson’s House of Comedy,E408,858-8558
135,10/1/17,ATTRACTIONS+ENTERTAINMENT,SEA LIFE Minnesota Aquarium,E120,883-0200
136,10/1/17,ATTRACTIONS+ENTERTAINMENT,SMAAASH,E402,
137,10/1/17,ATTRACTIONS+ENTERTAINMENT,Xscape Entertainment Center,E342,
143,10/1/17,"BOOKS,CARDS+GIFTS",Barnes & Noble,E118,854-1455
144,10/1/17,"BOOKS,CARDS+GIFTS",Box Lunch,N134,
145,10/1/17,"BOOKS,CARDS+GIFTS",Brickmania,E352,854-9850
146,10/1/17,"BOOKS,CARDS+GIFTS",Brookstone,S282,858-8848
147,10/1/17,"BOOKS,CARDS+GIFTS",Cheese Brothers,E278,854-1240
149,10/1/17,"BOOKS,CARDS+GIFTS",Debut,N125,
164,10/1/17,"BOOKS,CARDS+GIFTS",Eagle Anime,N365,612-293-8697
167,10/1/17,"BOOKS,CARDS+GIFTS",Greater Good,S236,612-524-6830
168,10/1/17,"BOOKS,CARDS+GIFTS",Hallmark,N308,858-9455
171,10/1/17,"BOOKS,CARDS+GIFTS",I Love Minnesota,W372,854-9100
172,10/1/17,"BOOKS,CARDS+GIFTS",Indulge + Bloom,N314,612-343-0000
174,10/1/17,"BOOKS,CARDS+GIFTS",Love from Minnesota,W380,854-7319
175,10/1/17,"BOOKS,CARDS+GIFTS",Mall of America® Gift Store,E372,
176,10/1/17,"BOOKS,CARDS+GIFTS",Mall of America® Gift Store,S225,
177,10/1/17,"BOOKS,CARDS+GIFTS",Mall of America® Gift Store,W388,883-8918
181,10/1/17,"BOOKS,CARDS+GIFTS",Minnesot-Ah!,E157,858-8531
182,10/1/17,"BOOKS,CARDS+GIFTS",Old Vine Wine + Spirits,W326,858-8800
184,10/1/17,"BOOKS,CARDS+GIFTS",Paper Source,N116,854-1189
185,10/1/17,"BOOKS,CARDS+GIFTS",Pepper Palace,E360,456-2714
187,10/1/17,"BOOKS,CARDS+GIFTS","Rybicki Cheese, LTD.",W382,854-3330
188,10/1/17,"BOOKS,CARDS+GIFTS",Spencer’s,N354,851-0878
189,10/1/17,"BOOKS,CARDS+GIFTS",Tervis,W370,854-4054
190,10/1/17,"BOOKS,CARDS+GIFTS",Things Remembered,E290,858-9066
191,10/1/17,"BOOKS,CARDS+GIFTS",Tomodachi,N316,582-7139
192,10/1/17,"BOOKS,CARDS+GIFTS",Typo,N132,854-5873
193,10/1/17,"BOOKS,CARDS+GIFTS",Vaase,E315,854-9474
194,10/1/17,"BOOKS,CARDS+GIFTS",Vom Fass,N345,426-3222
195,10/1/17,"BOOKS,CARDS+GIFTS",Yankee Candle,N286,854-9222
197,10/1/17,CONVENIENCE,Holiday Stationstore,W123,854-6660
198,10/1/17,CONVENIENCE,Mall of America® Gifts + Sundries,S225,883-8423
199,10/1/17,CONVENIENCE,Street Corner News,E122,858-8539
205,10/1/17,DINING-FOODCOURT,A&W All American Food,S376,858-8436
206,10/1/17,DINING-FOODCOURT,A&W All American Food,C376,405-6992
207,10/1/17,DINING-FOODCOURT,Asian Chao/Maki of Japan,S385,853-0096
208,10/1/17,DINING-FOODCOURT,Burger King,C360,500-8744
209,10/1/17,DINING-FOODCOURT,Great Steak & Potato,S388,858-8263
210,10/1/17,DINING-FOODCOURT,Great Steak & Potato,C368,854-5503
211,10/1/17,DINING-FOODCOURT,Johnny Rockets,S370,858-8158
212,10/1/17,DINING-FOODCOURT,Little Tokyo,C380,
213,10/1/17,DINING-FOODCOURT,Long John Silver’s,S378,858-9436
214,10/1/17,DINING-FOODCOURT,The Meatball Spot,C380,
215,10/1/17,DINING-FOODCOURT,Panda Express,S374,858-8115
216,10/1/17,DINING-FOODCOURT,Panda Express,C370,858-8116
217,10/1/17,DINING-FOODCOURT,The Pita Pit,S372,854-7482
218,10/1/17,DINING-FOODCOURT,Qdoba,C364,854-6714
219,10/1/17,DINING-FOODCOURT,Ruby Thai’s Kitchen,S379,854-5309
220,10/1/17,DINING-FOODCOURT,Sbarro,S390,851-9311
221,10/1/17,DINING-FOODCOURT,Thai Express,C335,
223,10/1/17,DINING-FASTCASUAL,Auntie Anne’s,E242,854-7602
224,10/1/17,DINING-FASTCASUAL,Auntie Anne’s,N366,851-0076
225,10/1/17,DINING-FASTCASUAL,Burger Burger,S321,855-7700
226,10/1/17,DINING-FASTCASUAL,Chipotle,S322,854-6248
227,10/1/17,DINING-FASTCASUAL,Freshens Crepes and Smoothies,W328,854-9434
228,10/1/17,DINING-FASTCASUAL,Freshii,S319,854-9225
229,10/1/17,DINING-FASTCASUAL,Jamba Juice,E317,854-5540
230,10/1/17,DINING-FASTCASUAL,Magic Pan Crepe Stand,W114,853-0200
231,10/1/17,DINING-FASTCASUAL,Melt Shop,C322,777-4660
232,10/1/17,DINING-FASTCASUAL,Naf Naf Grill,C326,
233,10/1/17,DINING-FASTCASUAL,Noodles & Company,S342,854-5538
234,10/1/17,DINING-FASTCASUAL,Panera Bread,S316,612-656-0528
235,10/1/17,DINING-FASTCASUAL,Piada Italian Street Food,N326,303-5458
236,10/1/17,DINING-FASTCASUAL,Pizza Studio,S340,229-4441
237,10/1/17,DINING-FASTCASUAL,Shake Shack,N332,466-6056
238,10/1/17,DINING-FASTCASUAL,Subway,E244,854-6623
239,10/1/17,DINING-FASTCASUAL,Tim Hortons,E280,854-1221
240,10/1/17,DINING-FASTCASUAL,Villa Fresh Italian Kitchen,E123,854-4361
243,10/1/17,DINING-FULLSERVICERESTAURANTS,Benihana,S358,594-6205
244,10/1/17,DINING-FULLSERVICERESTAURANTS,Bubba Gump Shrimp Co,S396,853-6600
245,10/1/17,DINING-FULLSERVICERESTAURANTS,Buffalo Wild Wings,S312,346-3740
246,10/1/17,DINING-FULLSERVICERESTAURANTS,Cadillac Ranch,S352,854-1004
247,10/1/17,DINING-FULLSERVICERESTAURANTS,Cantina #1,E406,854-6500
248,10/1/17,DINING-FULLSERVICERESTAURANTS,Cantina Laredo,W300,406-8311
250,10/1/17,DINING-FULLSERVICERESTAURANTS,Cowboy Jack’s,S320,
251,10/1/17,DINING-FULLSERVICERESTAURANTS,CRAVE,S368,854-5000
252,10/1/17,DINING-FULLSERVICERESTAURANTS,Dick’s Last Resort,S402,612-276-6995
255,10/1/17,DINING-FULLSERVICERESTAURANTS,Hooters,E404,854-3110
256,10/1/17,DINING-FULLSERVICERESTAURANTS,Margaritaville,E344,800-4422
257,10/1/17,DINING-FULLSERVICERESTAURANTS,Masu Sushi + Robata,S344,896-6278
259,10/1/17,DINING-FULLSERVICERESTAURANTS,Rainforest Cafe,S306,854-7500
260,10/1/17,DINING-FULLSERVICERESTAURANTS,The Lounge @ House of Comedy,E408,858-8558
261,10/1/17,DINING-FULLSERVICERESTAURANTS,Tiger Sushi,N100,876-9410
262,10/1/17,DINING-FULLSERVICERESTAURANTS,Tony Roma’s,S346,854-7940
263,10/1/17,DINING-FULLSERVICERESTAURANTS,Tucci Benucch,W114,853-0200
264,10/1/17,DINING-FULLSERVICERESTAURANTS,Twin City Grill,N130,854-0200
267,10/1/17,DINING-SWEETS+TREATS,Cinnabon,E180,858-8208
268,10/1/17,DINING-SWEETS+TREATS,Cold Stone Creamery,S382,851-0623
269,10/1/17,DINING-SWEETS+TREATS,Cupcake,W384,612-378-4818
270,10/1/17,DINING-SWEETS+TREATS,Dairy Queen,E282,858-8938
271,10/1/17,DINING-SWEETS+TREATS,Doc Popcorn,E306,854-9844
272,10/1/17,DINING-SWEETS+TREATS,Freshens Yogurt,S336,858-9814
273,10/1/17,DINING-SWEETS+TREATS,Godiva Chocolatier,W126,858-9306
274,10/1/17,DINING-SWEETS+TREATS,Great American Cookies,S336,858-9814
276,10/1/17,DINING-SWEETS+TREATS,Häagen Dazs,E130,854-9406
277,10/1/17,DINING-SWEETS+TREATS,iCandy Sugar Shoppe,E154,767-0224
278,10/1/17,DINING-SWEETS+TREATS,IT’SUGAR,N270,854-9245
279,10/1/17,DINING-SWEETS+TREATS,Lindt Chocolate,S284,854-1917
280,10/1/17,DINING-SWEETS+TREATS,Nestlé Tollhouse Café,E283,853-0272
281,10/1/17,DINING-SWEETS+TREATS,Nestlé Tollhouse Café,W152,767-7760
282,10/1/17,DINING-SWEETS+TREATS,Northwoods Candy Emporium,N312,373-4959
283,10/1/17,DINING-SWEETS+TREATS,Orange Julius,W130,854-0680
284,10/1/17,DINING-SWEETS+TREATS,Paciugo Gelato & Caffe,W392,814-3528
286,10/1/17,DINING-SWEETS+TREATS,Rocky Mountain Chocolate Factory,E128,858-8826
287,10/1/17,DINING-SWEETS+TREATS,Rustica Cookies + Creamery,N123,
292,10/1/17,DINING-COFFEE+TEA,Caribou Coffee,S226,854-1031
293,10/1/17,DINING-COFFEE+TEA,Caribou Coffee,S380,854-7818
295,10/1/17,DINING-COFFEE+TEA,Caribou Coffee,N224,858-8360
296,10/1/17,DINING-COFFEE+TEA,Chatime Tea,S343,456-8668
298,10/1/17,DINING-COFFEE+TEA,DAVIDsTEA,E114,854-9105
300,10/1/17,DINING-COFFEE+TEA,Sencha Tea Bar,N392,405-9288
301,10/1/17,DINING-COFFEE+TEA,Starbucks,C310,612-257-5599
302,10/1/17,DINING-COFFEE+TEA,Starbucks,E164,854-1922
303,10/1/17,DINING-COFFEE+TEA,Starbucks,W276,853-1274
304,10/1/17,DINING-COFFEE+TEA,Teavana,W128,853-9880
305,10/1/17,DINING-COFFEE+TEA,Tim Hortons,E280,854-1221
308,10/1/17,ELECTRONIC+TECH,Apple Store,S132,854-4870
309,10/1/17,ELECTRONIC+TECH,AT&T,S104,703-4384
310,10/1/17,ELECTRONIC+TECH,Best Buy,W340,853-1359
311,10/1/17,ELECTRONIC+TECH,Bose,W156,854-6978
321,10/1/17,ELECTRONIC+TECH,Microsoft Store,S162,487-7372
323,10/1/17,ELECTRONIC+TECH,Sprint,E360,
324,10/1/17,ELECTRONIC+TECH,Sprint,W387,854-9070
325,10/1/17,ELECTRONIC+TECH,T-Mobile,E156,
326,10/1/17,ELECTRONIC+TECH,T-Mobile,N382,854-7469
327,10/1/17,ELECTRONIC+TECH,Verizon,E264,853-0022
330,10/1/17,EYEWEAR,LensCrafters,N304,858-8410
331,10/1/17,EYEWEAR,Oakley,N107,854-2007
332,10/1/17,EYEWEAR,Oakley,N260,854-6620
334,10/1/17,EYEWEAR,Solstice Sunglasses,W131,854-4720
337,10/1/17,EYEWEAR,Sunglass Hut,N256,858-8910
338,10/1/17,EYEWEAR,Sunglass Hut,W296,858-8910
339,10/1/17,EYEWEAR,Sunglass Hut,W362,858-9963
340,10/1/17,EYEWEAR,Sunglass Hut,N118,858-8547
342,10/1/17,HEALTH+BEAUTY,Aveda Experience Center,W288,854-0595
343,10/1/17,HEALTH+BEAUTY,bareMinerals,E110,854-9205
344,10/1/17,HEALTH+BEAUTY,bareMinerals,N294,854-8554
345,10/1/17,HEALTH+BEAUTY,Bath & Body Works,N172,858-8377
346,10/1/17,HEALTH+BEAUTY,Bath & Body Works,S234,854-5252
350,10/1/17,HEALTH+BEAUTY,Brow Art,E362,854-1270
351,10/1/17,HEALTH+BEAUTY,Crabtree & Evelyn,W270,854-3986
352,10/1/17,HEALTH+BEAUTY,Final Cut Sports Barbershop,N372,681-2871
353,10/1/17,HEALTH+BEAUTY,GNC,N370,851-0880
354,10/1/17,HEALTH+BEAUTY,Gold Elements,W164,
357,10/1/17,HEALTH+BEAUTY,Kiehl’s,N121,854-9541
359,10/1/17,HEALTH+BEAUTY,L.A. Nails,W364,854-9102
360,10/1/17,HEALTH+BEAUTY,L’OCCITANE,W268,854-5581
361,10/1/17,HEALTH+BEAUTY,LUSH,E112,854-9672
362,10/1/17,HEALTH+BEAUTY,MAC Cosmetics,W294,814-9805
363,10/1/17,HEALTH+BEAUTY,Mastercuts,E368,854-1414
364,10/1/17,HEALTH+BEAUTY,Nail Trix,E363,851-9900
365,10/1/17,HEALTH+BEAUTY,NYX Professional Makeup,E106,854-5457
367,10/1/17,HEALTH+BEAUTY,Origins,W292,858-9665
368,10/1/17,HEALTH+BEAUTY,Perfumania,N219,851-0790
371,10/1/17,HEALTH+BEAUTY,Progressions Salon,W135,851-9999
372,10/1/17,HEALTH+BEAUTY,Regis Salon,E152,854-2444
373,10/1/17,HEALTH+BEAUTY,Relaxing Massage,N367,
374,10/1/17,HEALTH+BEAUTY,Sabon,W166,657-5861
375,10/1/17,HEALTH+BEAUTY,Sephora,W200,854-1517
376,10/1/17,HEALTH+BEAUTY,Sigma Beauty,W286,405-6684
378,10/1/17,HEALTH+BEAUTY,The Art of Shaving,W125,854-1441
379,10/1/17,HEALTH+BEAUTY,The Body Shop,W148,858-9752
381,10/1/17,HEALTH+BEAUTY,White Barn Candle,S234,858-8377
382,10/1/17,HEALTH+BEAUTY,Worker B,W166,612-584-0440
384,10/1/17,HOME,Anthropologie,C128,
385,10/1/17,HOME,Corda-a-Roys,E348,854-0335
386,10/1/17,HOME,Cut Above Home,S238,854-1157
388,10/1/17,HOME,LoveSac,W327,854-5105
390,10/1/17,HOME,Sleep Number,S256,858-9531
396,10/1/17,JEWELRY+WATCHES,Ben Bridge Jeweler,W136,814-9356
397,10/1/17,JEWELRY+WATCHES,Fixology,N390,854-4205
398,10/1/17,JEWELRY+WATCHES,Fossil,E168,854-1935
399,10/1/17,JEWELRY+WATCHES,Helzberg Diamonds,W154,851-0057
401,10/1/17,JEWELRY+WATCHES,Impulse,E314,854-1195
403,10/1/17,JEWELRY+WATCHES,JARED The Galleria of Jewelry,W278,854-1255
404,10/1/17,JEWELRY+WATCHES,KAY Jewelers,N174,876-0700
405,10/1/17,JEWELRY+WATCHES,Local Charm,E104,854-6562
406,10/1/17,JEWELRY+WATCHES,Lotus Beads and Jewelers,N368,854-9951
407,10/1/17,JEWELRY+WATCHES,Michael Hill Jewelry,S292,854-9292
408,10/1/17,JEWELRY+WATCHES,Pandora,N127,252-1495
409,10/1/17,JEWELRY+WATCHES,Persepolis,W360,
411,10/1/17,JEWELRY+WATCHES,Rogers & Holland Jewelers,W146,814-9400
412,10/1/17,JEWELRY+WATCHES,Swarovski,N288,853-2130
413,10/1/17,JEWELRY+WATCHES,Swatch,E162,853-9000
414,10/1/17,JEWELRY+WATCHES,The Gold Guys,E357,465-3489
415,10/1/17,JEWELRY+WATCHES,Zales,E240,883-2063
417,10/1/17,JEWELRY+WATCHES,Brighton,S224,854-8043
418,10/1/17,JEWELRY+WATCHES,Coach,W274,858-8600
419,10/1/17,JEWELRY+WATCHES,Henri Bendel,S156,854-9206
420,10/1/17,JEWELRY+WATCHES,House of Samsonite,W158,854-9139
421,10/1/17,JEWELRY+WATCHES,kate spade new york,S106,854-1003
422,10/1/17,JEWELRY+WATCHES,Michael Kors,S184,814-1900
423,10/1/17,JEWELRY+WATCHES,Tumi,W140,854-4767
424,10/1/17,JEWELRY+WATCHES,Vera Bradley,S288,854-1822
428,10/1/17,SERVICES,Bank of America,N232,
429,10/1/17,SERVICES,Bank of America,W118,
430,10/1/17,SERVICES,Bloomington Police Dept,E217,
431,10/1/17,SERVICES,Chapel of Love,E318,854-4656
432,10/1/17,SERVICES,Executive Center,E410,883-8809
435,10/1/17,SERVICES,Market Research Center,W322,
436,10/1/17,SERVICES,Mystic Lake Casino-Hotel,E296,403-5370
437,10/1/17,SERVICES,Prof Bellows Old Time Photos,N374,853-9804
438,10/1/17,SERVICES,Stitch It,N364,854-5723
439,10/1/17,SERVICES,Xchange of America,E218,
441,10/1/17,SHOES,ALDO,N188,854-6118
442,10/1/17,SHOES,Boot Barn,N386,854-1063
443,10/1/17,SHOES,Clark’s,E146,854-4462
444,10/1/17,SHOES,Crocs,N108,854-5278
445,10/1/17,SHOES,Dr. Martens,N101,854-9006
446,10/1/17,SHOES,DSW,W124,876-0991
447,10/1/17,SHOES,ECCO,N218,854-5188
448,10/1/17,SHOES,Famous Footwear,N151,854-1206
449,10/1/17,SHOES,Famous Footwear,W310,853-0883
450,10/1/17,SHOES,Finish Line,E241,814-0116
451,10/1/17,SHOES,Flip Flop Shops,N103,767-7528
452,10/1/17,SHOES,Fly Zone at Kids Foot Locker,E272,858-8928
453,10/1/17,SHOES,Foot Locker,N162,854-5728
454,10/1/17,SHOES,Footaction,E102,858-8937
455,10/1/17,SHOES,House of Hoops by Foot Locker,N356,854-5644
456,10/1/17,SHOES,Johnston + Murphy,W144,854-1930
457,10/1/17,SHOES,Journeys,N154,858-9923
458,10/1/17,SHOES,Kids Foot Locker,E272,858-8928
460,10/1/17,SHOES,Merrell,N282,854-5778
461,10/1/17,SHOES,Nike,W244,854-5042
462,10/1/17,SHOES,O’Shoes,E246,854-1649
463,10/1/17,SHOES,Payless ShoeSource,N150,858-8132
464,10/1/17,SHOES,Shi by Journeys,E268,854-6991
465,10/1/17,SHOES,Skechers,N214,854-3000
466,10/1/17,SHOES,SOREL,W112,854-5260
467,10/1/17,SHOES,Steve Madden,W142,876-0370
468,10/1/17,SHOES,Stuart Weitzman,S184,854-4080
469,10/1/17,SHOES,The Running Room,W161,854-1996
470,10/1/17,SHOES,The Walking Company,W160,854-0380
471,10/1/17,SHOES,TOMS,C106,854-9441
472,10/1/17,SHOES,UGG Australia,S144,854-5166
473,10/1/17,SHOES,Vans,N254,854-2942
474,10/1/17,SHOES,Villa Shoes,N244,854-9114
476,10/1/17,"TOYS,GAMES+HOBBIES",Air Traffic,N384,858-9599
477,10/1/17,"TOYS,GAMES+HOBBIES",The Animal Lover’s,E125,612-524-6820
479,10/1/17,"TOYS,GAMES+HOBBIES",BrickMania,E352,854-9850
480,10/1/17,"TOYS,GAMES+HOBBIES",Build-A-Bear Workshop,E172,854-1164
483,10/1/17,"TOYS,GAMES+HOBBIES",Crayola Experience + Store,S300,851-5800
484,10/1/17,"TOYS,GAMES+HOBBIES",Creative Kidstuff,E148,612-524-6630
486,10/1/17,"TOYS,GAMES+HOBBIES",Disney Store,S118,854-9119
490,10/1/17,"TOYS,GAMES+HOBBIES",Games by James,E358,854-4747
491,10/1/17,"TOYS,GAMES+HOBBIES",GameStop,E284,814-0082
492,10/1/17,"TOYS,GAMES+HOBBIES",GameStop,N378,854-6191
495,10/1/17,"TOYS,GAMES+HOBBIES",JM Cremp’s,N240,854-9105
496,10/1/17,"TOYS,GAMES+HOBBIES",The LEGO Store,S164,858-8949
497,10/1/17,"TOYS,GAMES+HOBBIES",ME 3D,E356,658-8858